members,member-type,institution,Re3data records,Re3data id,Notes
Académie des Sciences,Associate,,,,
Arab Council for the Social Sciences,Associate,,https://www.re3data.org/repository/r3d100013586,r3d100013586,
Byurakan Astrophysical Observatory,Associate,Republic of Armenia,,,
Chilean Virtual Observatory,Associate,Universidad Técnica Federico Santa María,,,
Committee on Electronic Information and Communication,Associate,International Mathematical Union,,,
DataCite,Associate,German National Library of Science and Technology,,,
Datta Meghe Institute Of Medical Sciences,Associate,Deemed University,,,
Division of History of Science and Technology,Associate,International Union of History and Philosophy of Science,,,
GO FAIR US,Associate,San Diego Super Computer,,,
International Association of Hydrological Sciences,Associate,International Union of Geodesy and Geophysics,,,
"International Association of Scientific, Technical & Medical Publishers",Associate,,,,
International Commission for Acoustics,Associate,,,,
International Council for Scientific and Technical Information,Associate,ICSTI,,,
International Environmental Data Rescue Organization,Associate,,,,
International GNSS Service,Associate,NASA,https://www.re3data.org/repository/r3d100010580,r3d100010580,
International Union of Geological Sciences,Associate,,,,
ISC Committee on Data for Science and Technology,Associate,,,,
John Wiley & Sons Ltd,Associate,,,,
Research Council of Zimbabwe,Associate,,,,
Research Data Alliance,Associate,"European Commission/the National Science Foundation and other U.S. agencies, and the Australian Government",,,
Royal Society Te Apārangi,Associate,,https://www.re3data.org/repository/r3d100013189,r3d100013189,
WorldWideScience Alliance,Associate,U.S. Department of Energy Office of Scientific and Technical Information,,,
NCMI Information and Data Centre,Candidate,CSIRO,https://www.re3data.org/repository/r3d100013965,r3d100013965,
Common Language Resources and Technology Infrastructure/European Research Infrastructure Consortium,Network,,https://www.re3data.org/repository/r3d100010209,r3d100010209,
Data Curation Network,Network,,,,
Inter-university Upper atmosphere Global Observation NETwork,Network,Polar Environment Data Science Center,,,
International DORIS Service,Network,International Association of Geodesy,,,
International Laser Ranging Service,Network,NASA,https://www.re3data.org/repository/r3d100010508,r3d100010508,
International Oceanographic Data and Information Exchange,Network,Intergovernmental Oceanographic Commission of UNESCO,NODC Italian Oceanographic Data Centre | re3data.org,r3d100012674,???
International Real-time Magnetic Observatory Network,Network,Various,https://www.re3data.org/repository/r3d100011070,r3d100011070,
International Space Environment Service,Network,,https://www.re3data.org/repository/r3d100010533,r3d100010533,
International Virtual Observatory Alliance,Network,IVOA,,,
International VLBI Service for Geodesy and Astrometry,Network,NASA,https://www.re3data.org/repository/r3d100010531,r3d100010531,
Latin American Initiative for Open Data,Network,,,,
NASA's Earth Science Data and Information System,Network,NASA,https://www.re3data.org/repository/r3d100010530,r3d100010530,???
Federation of Earth Science Information Partners,Partner,Foundation for Earth Science,,,
Global Geodetic Observing System,Partner,German Federal Agnecy for Cartography and Geodesy/BKG,https://www.re3data.org/repository/r3d100011114,r3d100011114,
International Union of Geodesy and Geophysics,Partner,,,,
Mountain Research Initiative,Partner,University of Bern,,,
Open Researcher and Contributor ID,Partner,"ORCID, Inc",,,
OpenAIRE,Partner,,,,
Past Global Changes,Partner,,,,
Scientific Committee On Solar Terrestrial Physics,Partner,Centre for Research in Earth and Space Science,,,
Southern Ocean Observing System,Partner,Institute for Marine and Antactic Studies/University of Tasmania,,,
University of Tennessee Oak Ridge Innovation Institute,Partner,University of Tennessee/Oak Ridge National Laboratory,,,
4TU.ResearchData,Regular,Delft University of Technology,https://www.re3data.org/repository/r3d100010216,r3d100010216,
Alaska Satellite Facility,Regular,NASA,https://www.re3data.org/repository/r3d100010506,r3d100010506,
Archaeology Data Service,Regular,University of York,https://www.re3data.org/repository/r3d100000006,r3d100000006,
Atmospheric Radiation Measurement Data Center,Regular,Oak Ridge National Laboratory/ORNL,https://www.re3data.org/repository/r3d100010186,r3d100010186,
Atmospheric Science Data Center,Regular,NASA,https://www.re3data.org/repository/r3d100010061,r3d100010061,
Australian Antarctic Data Centre,Regular,Australian Government,https://www.re3data.org/repository/r3d100000038,r3d100000038,
Australian Data Archive,Regular,Australian National University,https://www.re3data.org/repository/r3d100010138,r3d100010138,
Australian Ocean Data Network,Regular,University of Tasmania,https://www.re3data.org/repository/r3d100010914,r3d100010914,
Biological and Chemical Oceanography Data Management Office,Regular,Woods Hole Oceanographic Institution,https://www.re3data.org/repository/r3d100000012,r3d100000012,
British Oceanographic Data Centre,Regular,National Oceanography Centre,https://www.re3data.org/repository/r3d100010192,r3d100010192,
California Digital Library,Regular,University of California,https://www.re3data.org/repository/r3d100013218,r3d100013218,
Cambridge Crystallographic Data Centre,Regular,Cambridge Crystallographic Data Centre,https://www.re3data.org/repository/r3d100010197,r3d100010197,
Canadian Astronomy Data Centre/Canadian Virtual Observatory,Regular,,https://www.re3data.org/repository/r3d100000016,r3d100000016,
Canadian Cryospheric Information Network/Polar Data Catalogue,Regular,University of Waterloo,https://www.re3data.org/repository/r3d100010953,r3d100010953,
Center for Digital Antiquity,Regular,Arizona State University,https://www.re3data.org/repository/r3d100010347,r3d100010347,
Center for Socio-Political Data/Centre de Données Socio-Politiques,Regular,Sciences Po,https://www.re3data.org/repository/r3d100012769,r3d100012769,
Centre de Données Astronomiques de Strasbourg,Regular,University of Strasbourg; National Center for Scientific Research,https://www.re3data.org/repository/r3d100010584,r3d100010584,
Centre for Astronomical Data,Regular,Institute of Astronomy of the Russian Academy of Sciences,https://www.re3data.org/repository/r3d100012353,r3d100012353,
