re3data_orgidentifier,reponame,repourl,institutioncountry,repolang,institutionname,repocontact,description,subject,subjectscheme,repoidentifier,institutionidentifier,pidsystem,aidsystem,api,api_apitype,metadatastandardname,metadatastandardscheme,metadatastandardurl,qualitymanagement,datauploadtype,datauploadrestriction,datauploadlicensename,datauploadlicenseurl,dataaccessrestriction,dataaccesstype,databaseaccessrestriction,databaseaccesstype,datalicensename,datalicenseurl,certificate,non_nan_count
r3d100010199,Environmental Information Data Centre,https://eidc.ac.uk/,"['GBR', 'GBR']",eng,"['Natural Environment Research Council', 'UK Centre for Ecology & Hydrology']","['https://eidc.ac.uk/contact', 'info@eidc.ac.uk']",The Environmental Information Data Centre (EIDC) is part of the Natural Environment Research Council's (NERC) Environmental Data Service and is hosted by the UK Centre for Ecology & Hydrology (UKCEH). We manage nationally-important datasets concerned with the terrestrial and freshwater sciences.,"['2 Life Sciences', '202 Plant Sciences', '20202 Plant Ecology and Ecosystem Analysis', '203 Zoology', '20303 Animal Ecology, Biodiversity and Ecosystem Research', '21 Biology', '3 Natural Sciences', '318 Water Research', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.f7hyf3,"['ROR:02b5d8509', 'RRID:SCR_012850', 'RRID:nlx_27406', 'ROR:00pggkr55']",DOI,ORCID,"['https://catalogue.ceh.ac.uk/sparql', 'https://catalogue.ceh.ac.uk/documents/gemini/waf/']","['SPARQL', 'other']","['DataCite Metadata Schema', 'Dublin Core', 'ISO 19115']","['DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema', 'http://www.dcc.ac.uk/resources/metadata-standards/dublin-core', 'http://www.dcc.ac.uk/resources/metadata-standards/iso-19115']",yes,restricted,registration,Deposit data,http://eidc.ac.uk/deposit,feeRequired,"['embargoed', 'open', 'restricted']",,open,"['OGL', 'other']","['https://eidc.ceh.ac.uk/licences/OGL', 'https://eidc.ceh.ac.uk/licences/standard-click-through']","['other', 'WDS']",30
r3d100010197,The Cambridge Structural Database,https://www.ccdc.cam.ac.uk/solutions/software/csd/,GBR,eng,Cambridge Crystallographic Data Centre,"['https://www.ccdc.cam.ac.uk/contact-us/', 'support@ccdc.cam.ac.uk']","Established in 1965, the CSD is the world’s repository for small-molecule organic and metal-organic crystal structures. Containing the results of over one million x-ray and neutron diffraction analyses this unique database of accurate 3D structures has become an essential resource to scientists around the world. The CSD records bibliographic, chemical and crystallographic information for:organic molecules, metal-organic compounds whose 3D structures have been determined using X-ray diffraction, neutron diffraction. The CSD records results of: single crystal studies, powder diffraction studies which yield 3D atomic coordinate data for at least all non-H atoms. In some cases the CCDC is unable to obtain coordinates, and incomplete entries are archived to the CSD. 
The CSD includes crystal structure data arising from: publications in the open literature and Private Communications to the CSD (via direct data deposition). 
The CSD contains directly deposited data that are not available anywhere else, known as CSD Communications.","['3 Natural Sciences', '301 Molecular Chemistry', '303 Physical and Theoretical Chemistry', '308 Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas', '309 Particles, Nuclei and Fields', '31 Chemistry', '32 Physics']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']","['10.25504/FAIRsharing.vs7865', 'SCR_007310', 'nif-0000-00174']","['ROR:00zbfm828', 'RRID:SCR_014707']",DOI,ORCID,https://downloads.ccdc.cam.ac.uk/documentation/API/,REST,DataCite Metadata Schema,DCC,http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema,yes,restricted,registration,Deposit a Structure in the CSD,https://www.ccdc.cam.ac.uk/community/access-deposit-structures/deposit-a-structure/,"['feeRequired', 'registration']","['embargoed', 'open', 'restricted']",,open,Copyrights,https://www.ccdc.cam.ac.uk/terms-and-conditions/,other,30
r3d100010299,World Data Center for Climate,https://www.wdc-climate.de/ui/,"['DEU', 'AAA']","['deu', 'eng']","['German Climate Computing Centre', 'World Data System']","['data@dkrz.de', 'lammert@dkrz.de']","The mission of World Data Center for Climate (WDCC) is to provide central support for the German and European climate research community. The WDCC is member of the ISC's World Data System. Emphasis is on development and implementation of best practice methods  for Earth System data management. Data for and from climate research are collected, stored and disseminated. The WDCC is  restricted to data products. Cooperations exist with thematically corresponding data centres of, e.g., earth observation,  meteorology, oceanography, paleo climate and environmental sciences. The services of WDCC are also available to external  users at cost price. A special service for the direct integration of research data in scientific publications has been developed. The editorial process at WDCC ensures the quality of metadata and research data in collaboration with the data producers. A citation code and a digital identifier (DOI) are provided and registered together with citation information at the DOI registration agency DataCite.","['3 Natural Sciences', '313 Atmospheric Science and Oceanography', '31301 Atmospheric Science', '31302 Oceanography', '314 Geology and Palaeontology', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.x3hgaw,"['ROR:03ztgj037', 'ROR:01pwmqe95']","['DOI', 'hdl']",,https://www.wdc-climate.de/docs/GUI_Doku.pdf,REST,"['DIF - Directory Interchange Format', 'DataCite Metadata Schema', 'ISO 19115', 'Repository-Developed Metadata Schemas']","['DCC', 'DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/dif-directory-interchange-format', 'http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema', 'http://www.dcc.ac.uk/resources/metadata-standards/iso-19115', 'http://www.dcc.ac.uk/resources/metadata-standards/repository-developed-metadata-schemas']",yes,restricted,registration,Data Submission Preparation Guide,https://www.wdc-climate.de/docs/DataSubmissionPreparationGuide.pdf,registration,"['open', 'restricted']",,open,"['CC', 'other']","['http://creativecommons.org/licenses/by-nc-sa/2.0/de/deed.en', 'https://www.wdc-climate.de/ui/info?site=termsofuse']",other,29
r3d100010186,ARM Data Center,https://www.arm.gov/data,"['USA', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA']",eng,"['Argonne National Laboratory', 'Atmospheric Radiation Measurement Climate Research Facility', 'Brookhaven National Laboratory', 'Lawrence Berkeley National Laboratory', 'Lawrence Livermore National Laboratory', 'Los Alamos National Laboratory', 'National Renewable Energy  Laboratory', 'Oak Ridge National Laboratory', 'Pacific Northwest National Laboratory', 'Sandia National Laboratories', 'U.S. Department of Energy, Office of Science']","['adc@arm.gov', 'https://arm.gov/connect-with-arm/organization/data-services', 'palanisamyg@ornl.gov']","US Department of Energy’s Atmospheric Radiation Measurement (ARM) Data Center is a long-term archive and distribution facility for various ground-based, aerial and model data products in support of atmospheric and climate research. ARM facility currently operates over 400 instruments at various observatories (https://www.arm.gov/capabilities/observatories/). 
ARM Data Center (ADC) Archive currently holds over 11,000 data products with a total holding of over 3 petabytes of data that dates back to 1993, these include data from instruments, value added products, model outputs, field campaign and PI contributed data. The data center archive also includes data collected by ARM from related program (e.g., external data such as NASA satellite).","['3 Natural Sciences', '313 Atmospheric Science and Oceanography', '315 Geophysics and Geodesy', '316 Geochemistry, Mineralogy and Crystallography', '34 Geosciences (including Geography)', '4 Engineering Sciences', '409 Computer Science', '40902 Software Technology', '44 Computer Science, Electrical and System Engineering']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.g84yb7,"['ROR:05gvnxz63', 'RRID:SCR_011095', 'RRID:nlx_55742', 'ROR:01dvj3d25', ['ROR:02ex6cf31', 'RRID:GAZ:00159027', 'RRID:SCR_011123'], ['ROR:02jbv0t02', 'RRID:SCR_011336', 'RRID:nlx_37075'], ['ROR:041nk4h53', 'ROR:SCR_011337', 'RRID:nlx_151761'], ['ROR:01e41cf67', 'RRID:SCR_011349', 'RRID:nlx_71073'], 'ROR:036266993', ['ROR:01qz5mb56', 'RRID:SCR_011475', 'RRID:nlx_149160'], ['ROR:05h992307', 'RRID:SCR_012842', 'RRID:nlx_152675'], 'ROR:058m7ey48', 'ROR:00mmn6b08']",DOI,,"['https://www.unidata.ucar.edu/software/netcdf/', 'https://adc.arm.gov/armlive/']","['NetCDF', 'REST']","['CF (Climate and Forecast) Metadata Conventions', 'FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata']","['DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/cf-climate-and-forecast-metadata-conventions', 'http://www.dcc.ac.uk/resources/metadata-standards/fgdccsdgm-federal-geographic-data-committee-content-standard-digital-ge']",yes,restricted,registration,Data Acquisition & Use,https://www.arm.gov/guidance/datause,registration,restricted,,open,"['CC', 'other']","['https://creativecommons.org/licenses/by/4.0/', 'https://www.arm.gov/guidance/datause/datasharing']",other,29
r3d100000012,Biological and Chemical Oceanography Data Management Office,https://www.bco-dmo.org/,"['USA', 'USA', 'USA', 'USA']",eng,"['DataONE', 'EarthCube Council of Data Facilities', 'National Science Foundation', 'Woods Hole Oceanographic Institution']","['https://www.bco-dmo.org/contact', 'info@bco-dmo.org']","The Biological and Chemical Oceanography Data Management Office (BCO-DMO) is a publicly accessible earth science data repository created to curate, publicly serve (publish), and archive digital data and information from biological, chemical and biogeochemical research conducted in coastal, marine, great lakes and laboratory environments. The BCO-DMO repository works closely with investigators funded through the NSF OCE Division’s Biological and Chemical Sections and the Division of Polar Programs Antarctic Organisms & Ecosystems. The office provides services that span the full data life cycle, from data management planning support and DOI creation, to archive with appropriate national facilities.","['3 Natural Sciences', '313 Atmospheric Science and Oceanography', '31301 Atmospheric Science', '31302 Oceanography', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.pjj4gd,"['ROR:00hr5y405', 'RRID:SCR_003999', ['ROR:021nxhr62', 'RRID:SCR_012938'], ['ROR:03zbnzt98', 'RRID:SCR_006315']]","['DOI', 'hdl']",ORCID,"['https://www.bco-dmo.org/faq-page#what_formats_avail_for_download', 'https://erddap.bco-dmo.org/erddap/index.html']","['NetCDF', 'other']","['DCAT - Data Catalog Vocabulary', 'DIF - Directory Interchange Format', 'Dublin Core', 'ISO 19115']","['DCC', 'DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/dcat-data-catalog-vocabulary', 'http://www.dcc.ac.uk/resources/metadata-standards/dif-directory-interchange-format', 'http://www.dcc.ac.uk/resources/metadata-standards/dublin-core', 'http://www.dcc.ac.uk/resources/metadata-standards/iso-19115']",yes,restricted,"['other', 'registration']",How to Get Started Contributing Data,https://www.bco-dmo.org/how-get-started,,open,,open,"['CC', 'other']","['https://creativecommons.org/licenses/by/4.0/', 'https://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf17037']",other,29
r3d100000037,Oak Ridge National Laboratory Distributed Active Archive Center for Biogeochemical Dynamics,https://daac.ornl.gov/,"['USA', 'USA']",eng,"['National Aeronautics and Space Administration, Terrestrial Ecology Program', 'Oak Ridge National Laboratory']","['https://daac.ornl.gov/help/', 'uso@daac.ornl.gov']","The Oak Ridge National Laboratory Distributed Active Archive Center (ORNL DAAC) for biogeochemical dynamics is one of the National Aeronautics and Space Administration (NASA) Earth Observing System Data and Information System (EOSDIS) data centers managed by the Earth Science Data and Information System (ESDIS) Project. The ORNL DAAC archives data produced by NASA's Terrestrial Ecology Program. The DAAC provides data and information relevant to biogeochemical dynamics, ecological data, and environmental processes, critical for understanding the dynamics relating to the biological, geological, and chemical components of Earth's environment.","['3 Natural Sciences', '313 Atmospheric Science and Oceanography', '31301 Atmospheric Science', '315 Geophysics and Geodesy', '318 Water Research', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.a833sq,"['ROR:01qz5mb56', 'RRID:SCR_011475']",DOI,,"['https://www.unidata.ucar.edu/software/tds/current/reference/NetcdfSubsetServiceConfigure.html', 'https://www.unidata.ucar.edu/software/tds/current/reference/Services.html#DAP2']","['NetCDF', 'OpenDAP']","['CF (Climate and Forecast) Metadata Conventions', 'RDF Data Cube Vocabulary']","['DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/cf-climate-and-forecast-metadata-conventions', 'http://www.dcc.ac.uk/resources/metadata-standards/rdf-data-cube-vocabulary']",yes,restricted,other,Data Management for Data Providers,https://daac.ornl.gov/datamanagement/,registration,restricted,,open,Public Domain,https://www.earthdata.nasa.gov/learn/use-data/data-use-policy,other,29
r3d100012529,ImmPort,https://www.immport.org/shared/home,"['USA', 'USA', 'USA', 'USA']",eng,"['National Institute of Allergy and Infectious Diseases, Division of Allergy, Immunology, and Transplantation', 'Northrop Grumman Health and Human Services', 'United States Department  of Health and Human Services', 'University of California San Francisco']",ImmPort_Helpdesk@immport.org,"The Immunology Database and Analysis Portal (ImmPort) archives clinical study and trial data generated by NIAID/DAIT-funded investigators. Data types housed in ImmPort include subject assessments i.e., medical history, concomitant medications and adverse events as well as mechanistic assay data such as flow cytometry, ELISA, ELISPOT, etc.  ---  You won't need an ImmPort account to search for compelling studies, peruse study demographics, interventions and mechanistic assays. But why stop there? What you really want to do is download the study, look at each experiment in detail including individual ELISA results and flow cytometry files. Perhaps you want to take those flow cytometry files for a test drive using FLOCK in the ImmPort flow cytometry module. To download all that interesting data you will need to register for ImmPort access.","['2 Life Sciences', '201 Basic Biological and Medical Research', '204 Microbiology, Virology and Immunology', '20405 Immunology', '21 Biology', '22 Medicine']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']","['10.25504/FAIRsharing.bpkzqp', 'OMICS_16756', 'SCR_012804', 'nlx_152691']","['ROR:033jnv181', 'RRID:SCR_009983', ['ROR:043mz5j54', 'RRID:SCR_010605']]",DOI,,https://docs.immport.org/,REST,Repository-Developed Metadata Schemas,DCC,http://www.dcc.ac.uk/resources/metadata-standards/repository-developed-metadata-schemas,yes,restricted,registration,Data Upload,https://docs.immport.org/datasubmission/general/,registration,"['embargoed', 'open', 'restricted']",,open,other,https://docs.immport.org/home/agreement/,other,29
r3d100010216,4TU.ResearchData | science.engineering.design,https://data.4tu.nl,"['NLD', 'NLD', 'NLD', 'NLD', 'NLD']",eng,"['4TU.Federation', 'TU Delft Library', 'Technische Universiteit Eindhoven', 'Universiteit Twente, Servicecentrum Bibliotheek & Archief', 'Wageningen University & Research']","['https://data.4tu.nl/info/about-4turesearchdata/contact', 'researchdata@4tu.nl']","4TU.ResearchData, previously known as 4TU.Centre for Research Data, is a research data repository dedicated to the science, engineering and design disciplines. It offers the knowledge, experience and the tools to manage, publish and find scientific research data in a standardized, secure and well-documented manner. 4TU.ResearchData provides the research community with:
Customised advice and support on research data management;
A long-term repository for scientific research data;
Support for current research projects;
Tools to enhance reuse of research data.","['2 Life Sciences', '201 Basic Biological and Medical Research', '20107 Bioinformatics and Theoretical Biology', '21 Biology', '3 Natural Sciences', '318 Water Research', '318 Water Research', '31801 Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management', '34 Geosciences (including Geography)', '4 Engineering Sciences', '410 Construction Engineering and Architecture', '41002 Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning', '45 Construction Engineering and Architecture']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']","['02d887280', '10.25504/FAIRsharing.zcveaz', 'SCR_006295', 'nlx_151952']","['ROR:03rsncr94', ['ROR:02c2kyt77', 'RRID:SCR_003354', 'RRID:nlx_151954'], ['ROR:04qw24q55', 'RRID:SCR_011771', 'RRID:nlx_151588']]",DOI,ORCID,"['https://data.4tu.nl/info/about-your-data/netcdf-and-opendap', 'https://api.figshare.com/v2/oai', 'https://opendap.4tu.nl/thredds/catalog/catalog.html']","['NetCDF', 'OAI-PMH', 'OpenDAP']","['CF (Climate and Forecast) Metadata Conventions', 'DataCite Metadata Schema', 'Dublin Core']","['DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/cf-climate-and-forecast-metadata-conventions', 'http://www.dcc.ac.uk/resources/metadata-standards/datacite-metadata-schema', 'http://www.dcc.ac.uk/resources/metadata-standards/dublin-core']",yes,restricted,registration,Deposit Agreement,https://data.4tu.nl/info/en/use/publish-cite/upload-your-data-in-our-data-repository,,"['closed', 'embargoed', 'open', 'restricted']",,open,"['Apache License 2.0', 'CC', 'CC0', 'other', 'other']","['https://www.apache.org/licenses/LICENSE-2.0', 'https://data.4tu.nl/info/about-4turesearchdata/policies-guidelines', 'https://creativecommons.org/publicdomain/zero/1.0/', 'https://opensource.org/licenses/MIT', 'https://www.gnu.org/licenses/gpl-3.0']",other,29
r3d100010110,National Snow and Ice Data Center,https://nsidc.org/data,"['USA', 'USA', 'USA', 'USA', 'USA', 'USA']",eng,"['Cooperative Institute for Research in Environmental Sciences, National Snow and Ice Data Center', 'EarthCube Council of Data Facilities', 'National Aeronautics and Space Administration', 'National Oceanic and Atmospheric Administration', 'National Science Foundation', 'University of Colorado Boulder']","['https://nsidc.org/about/contact-us', 'nsidc@nsidc.org']","NSIDC offers hundreds of scientific data sets for research, focusing on the cryosphere and its interactions. Data are from satellites and field observations. All data are free of charge.","['3 Natural Sciences', '313 Atmospheric Science and Oceanography', '318 Water Research', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG']","['10.25504/FAIRsharing.k9vqye', 'SCR_002220', 'nlx_154742']","['ROR:00bdqav06', 'RRID:SCR_002220', 'RRID:nlx_154742', 'ROR:027ka1x80', ['ROR:02z5nhe81', 'RRID:SCR_011426'], ['ROR:021nxhr62', 'RRID:SCR_012938'], ['ROR:02ttsq026', 'RRID:SCR_003114']]",DOI,,"['https://nsidc.org/data/user-resources/help-center/how-access-data-using-ftp-client-command-line-wget-or-python', 'https://nsidc.org/data/user-resources/help-center/how-do-i-access-data-using-opendap']","['FTP', 'OpenDAP']","['DIF - Directory Interchange Format', 'FGDC/CSDGM - Federal Geographic Data Committee Content Standard for Digital Geospatial Metadata', 'ISO 19115']","['DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/dif-directory-interchange-format', 'http://www.dcc.ac.uk/resources/metadata-standards/fgdccsdgm-federal-geographic-data-committee-content-standard-digital-ge', 'http://www.dcc.ac.uk/resources/metadata-standards/iso-19115']",yes,restricted,registration,submit data,https://nsidc.org/form/daac-data-submission-form#no-back,"['institutional membership', 'other', 'registration']","['open', 'restricted']",,open,"['CC0', 'Copyrights', 'other']","['https://nsidc.org/about/policies', 'https://nsidc.org/data/data-policies', 'https://nsidc.org/about/policies']",other,29
r3d100010134,PANGAEA,https://www.pangaea.de/,"['DEU', 'DEU']",eng,"['Alfred-Wegener-Institut, Helmholtz-Zentrum für Polar- und Meeresforschung (AWI)', 'University of Bremen']","['https://www.pangaea.de/contact/', 'info@pangaea.de']","PANGAEA - Data Publisher for Earth & Environmental Sciences has an almost 30-year history as an open-access library for archiving, publishing, and disseminating georeferenced data from the Earth, environmental, and biodiversity sciences. Originally evolving from a database for sediment cores, it is operated as a joint facility of the Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research (AWI) and the Center for Marine Environmental Sciences (MARUM) at the University of Bremen. PANGAEA holds a mandate from the World Meteorological Organization (WMO) and is accredited as a World Radiation Monitoring Center (WRMC). It was further accredited as a World Data Center by the International Council for Science (ICS) in 2001 and has been certified with the Core Trust Seal since 2019. The successful cooperation between PANGAEA and the publishing industry along with the correspondent technical implementation enables the cross-referencing of scientific publications and datasets archived as supplements to these publications. PANGAEA is the recommended data repository of numerous international scientific journals.","['2 Life Sciences', '21 Biology', '3 Natural Sciences', '313 Atmospheric Science and Oceanography', '31302 Oceanography', '314 Geology and Palaeontology', '31401 Geology and Palaeontology', '315 Geophysics and Geodesy', '31501 Geophysics', '316 Geochemistry, Mineralogy and Crystallography', '31601 Geochemistry, Mineralogy and Crystallography', '34 Geosciences (including Geography)']","['DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG', 'DFG']",10.25504/FAIRsharing.6yw6cp,"['ROR:032e6b942', ['ROR:04ers2y35', 'RRID:SCR_011612']]",DOI,ORCID,https://ws.pangaea.de/oai/provider,OAI-PMH,"['DIF - Directory Interchange Format', 'Darwin Core', 'Dublin Core', 'ISO 19115']","['DCC', 'DCC', 'DCC', 'DCC']","['http://www.dcc.ac.uk/resources/metadata-standards/dif-directory-interchange-format', 'http://www.dcc.ac.uk/resources/metadata-standards/darwin-core', 'http://www.dcc.ac.uk/resources/metadata-standards/dublin-core', 'http://www.dcc.ac.uk/resources/metadata-standards/iso-19115']",yes,restricted,registration,Data Submission,https://www.pangaea.de/submit/,,open,,open,CC,https://wiki.pangaea.de/wiki/License,"['other', 'WDS']",29
