value,count,percentage,source,column
USA,3071,33.66955377699814,All,Institution Country
DEU,1306,14.3186054160728,All,Institution Country
CAN,839,9.198552790264225,All,Institution Country
GBR,612,6.709790593136717,All,Institution Country
EEC,410,4.49512114899682,All,Institution Country
AAA,358,3.92500822278259,All,Institution Country
FRA,324,3.552242078719439,All,Institution Country
AUS,263,2.883455761429667,All,Institution Country
CHN,159,1.743229909001206,All,Institution Country
NLD,141,1.545883126850126,All,Institution Country
CHE,141,1.545883126850126,All,Institution Country
JPN,129,1.414318605416073,All,Institution Country
IND,126,1.381427475057559,All,Institution Country
ESP,124,1.359500054818551,All,Institution Country
ITA,111,1.216971823264993,All,Institution Country
AUT,80,0.8770968095603552,All,Institution Country
POL,79,0.8661330994408507,All,Institution Country
NOR,72,0.7893871286043196,All,Institution Country
BEL,67,0.7345685780067975,All,Institution Country
SWE,67,0.7345685780067975,All,Institution Country
DNK,43,0.471439535138691,All,Institution Country
RUS,38,0.4166209845411687,All,Institution Country
GRC,35,0.3837298541826554,All,Institution Country
SRB,32,0.3508387238241421,All,Institution Country
MEX,32,0.3508387238241421,All,Institution Country
ZAF,31,0.3398750137046376,All,Institution Country
BRA,30,0.3289113035851332,All,Institution Country
ARG,29,0.3179475934656288,All,Institution Country
CZE,24,0.2631290428681066,All,Institution Country
EST,23,0.2521653327486021,All,Institution Country
PRT,21,0.2302379125095932,All,Institution Country
IRL,20,0.2192742023900888,All,Institution Country
TWN,20,0.2192742023900888,All,Institution Country
NZL,20,0.2192742023900888,All,Institution Country
COL,19,0.2083104922705844,All,Institution Country
FIN,18,0.1973467821510799,All,Institution Country
HUN,16,0.1754193619120711,All,Institution Country
KOR,15,0.1644556517925666,All,Institution Country
ISR,14,0.1534919416730622,All,Institution Country
LTU,13,0.1425282315535577,All,Institution Country
SGP,12,0.1315645214340533,All,Institution Country
CHL,12,0.1315645214340533,All,Institution Country
HKG,9,0.09867339107553995,All,Institution Country
TUR,8,0.08770968095603553,All,Institution Country
KEN,8,0.08770968095603553,All,Institution Country
SVN,7,0.07674597083653108,All,Institution Country
ISL,6,0.06578226071702664,All,Institution Country
ROU,5,0.0548185505975222,All,Institution Country
PER,5,0.0548185505975222,All,Institution Country
SVK,4,0.04385484047801776,All,Institution Country
IDN,4,0.04385484047801776,All,Institution Country
THA,4,0.04385484047801776,All,Institution Country
HRV,4,0.04385484047801776,All,Institution Country
LUX,4,0.04385484047801776,All,Institution Country
LVA,3,0.03289113035851332,All,Institution Country
CYP,3,0.03289113035851332,All,Institution Country
BFA,3,0.03289113035851332,All,Institution Country
UKR,3,0.03289113035851332,All,Institution Country
PAK,3,0.03289113035851332,All,Institution Country
SAU,3,0.03289113035851332,All,Institution Country
GRL,3,0.03289113035851332,All,Institution Country
VNM,2,0.02192742023900888,All,Institution Country
SDN,2,0.02192742023900888,All,Institution Country
PAN,2,0.02192742023900888,All,Institution Country
MKD,2,0.02192742023900888,All,Institution Country
LBN,2,0.02192742023900888,All,Institution Country
CMR,2,0.02192742023900888,All,Institution Country
GHA,2,0.02192742023900888,All,Institution Country
BEN,2,0.02192742023900888,All,Institution Country
ETH,1,0.01096371011950444,All,Institution Country
BIH,1,0.01096371011950444,All,Institution Country
NER,1,0.01096371011950444,All,Institution Country
ECU,1,0.01096371011950444,All,Institution Country
IRN,1,0.01096371011950444,All,Institution Country
NCL,1,0.01096371011950444,All,Institution Country
FJI,1,0.01096371011950444,All,Institution Country
CIV,1,0.01096371011950444,All,Institution Country
KAZ,1,0.01096371011950444,All,Institution Country
NAM,1,0.01096371011950444,All,Institution Country
NGA,1,0.01096371011950444,All,Institution Country
TUN,1,0.01096371011950444,All,Institution Country
SEN,1,0.01096371011950444,All,Institution Country
LAO,1,0.01096371011950444,All,Institution Country
EGY,1,0.01096371011950444,All,Institution Country
PHL,1,0.01096371011950444,All,Institution Country
MWI,1,0.01096371011950444,All,Institution Country
AZE,1,0.01096371011950444,All,Institution Country
PYF,1,0.01096371011950444,All,Institution Country
URY,1,0.01096371011950444,All,Institution Country
eng,3206,69.13952986844943,All,Repository Language
deu,309,6.663791244339013,All,Repository Language
fra,291,6.275609230105673,All,Repository Language
spa,172,3.709294802674143,All,Repository Language
zho,93,2.005607073538926,All,Repository Language
por,56,1.207677377614837,All,Repository Language
jpn,47,1.013586370498167,All,Repository Language
nld,44,0.9488893681259434,All,Repository Language
rus,42,0.9057580332111279,All,Repository Language
pol,41,0.8841923657537202,All,Repository Language
ita,40,0.8626266982963123,All,Repository Language
swe,23,0.4960103515203796,All,Repository Language
fin,18,0.3881820142333405,All,Repository Language
cat,17,0.3666163467759327,All,Repository Language
dan,15,0.3234850118611171,All,Repository Language
ces,14,0.3019193444037093,All,Repository Language
hun,13,0.2803536769463015,All,Repository Language
kor,13,0.2803536769463015,All,Repository Language
srp,13,0.2803536769463015,All,Repository Language
ell,12,0.2587880094888937,All,Repository Language
ara,12,0.2587880094888937,All,Repository Language
nor,11,0.2372223420314858,All,Repository Language
est,10,0.2156566745740781,All,Repository Language
lav,9,0.1940910071166703,All,Repository Language
hin,8,0.1725253396592624,All,Repository Language
slk,8,0.1725253396592624,All,Repository Language
ind,8,0.1725253396592624,All,Repository Language
lit,8,0.1725253396592624,All,Repository Language
